date_time,members1,members2,members3,holiday,totalsales,nop
2020/10/26,14994,0,0,0,69395150.33,1012402
2020/10/27,14971,0,0,0,98113543.65,1004486
2020/10/28,14864,0,0,0,98042679.13,997645
2020/10/29,14815,0,0,0,94822798.15,989274
2020/10/30,14549,0,0,0,99127335.27,980583
2020/10/31,14564,0,0,0,106477721.7,979753
2020/11/1,14318,0,0,0,108185254.6,975495
2020/11/2,14059,0,0,0,154524391.6,970243
2020/11/3,13834,0,0,0,125378987.3,966391
2020/11/4,13550,0,0,0,126942457.8,963001
2020/11/5,13341,0,0,0,132907190.7,964034
2020/11/6,13153,0,0,0,125118864.0,963063
2020/11/7,12805,0,0,0,121392998.0,960580
2020/11/8,12737,0,0,0,118763582.9,965760
2020/11/9,12663,0,0,0,72724059.76,972436
2020/11/10,12542,0,0,0,73362904.5,975945
2020/11/11,12590,0,0,0,160646644.8,977191
2020/11/12,12500,0,0,0,152539470.5,975139
2020/11/13,12282,0,0,0,281214039.5,973419
2020/11/14,12387,0,0,0,277772765.3,971679
2020/11/15,12496,0,0,0,278629367.8,967505
2020/11/16,12680,0,0,0,278831851.0,964253
2020/11/17,12713,0,0,0,305043619.8,961032
2020/11/18,12724,0,0,0,214435872.8,957893
2020/11/19,12608,0,0,0,216619227.9,950513
2020/11/20,12818,0,0,0,92720591.55,948669
2020/11/21,12839,0,0,0,95185718.59,944952
2020/11/22,12632,0,0,0,95591660.44,946352
2020/11/23,12561,0,0,0,97760716.8,945794
2020/11/24,13117,0,0,0,79319896.42,944357
2020/11/25,13473,0,0,0,80445708.41,949457
2020/11/26,13684,0,0,0,87269304.03,954223
2020/11/27,13764,0,0,0,81538609.3,956436
2020/11/28,13757,0,0,0,79664345.07,952858
2020/11/29,13813,0,0,0,78906836.87,942068
2020/11/30,13701,0,0,0,77419037.17,935198
2020/12/1,13008,0,0,0,82599614.86,926158
2020/12/2,12460,0,0,0,82004678.69,910714
2020/12/3,12212,0,0,0,76380943.07,900789
2020/12/4,11933,0,0,0,79515806.22,892349
2020/12/5,11444,0,0,0,82364626.99,884318
2020/12/6,11099,0,0,0,95287305.12,879900
2020/12/7,10901,0,0,0,96114300.78,879313
2020/12/8,10864,0,0,0,82926787.08,881688
2020/12/9,10866,0,0,0,100334867.5,887042
2020/12/10,10875,0,0,0,123195541.5,890221
2020/12/11,10747,0,0,0,118867036.9,888150
2020/12/12,10954,0,0,0,126779975.1,890951
2020/12/13,10947,0,0,0,114569384.4,890949
2020/12/14,10998,0,0,0,114406195.5,887030
2020/12/15,11021,0,0,0,118108282.9,887860
2020/12/16,11046,0,0,0,106048296.8,891771
2020/12/17,11155,0,0,0,124711194.0,895376
2020/12/18,11406,0,0,0,124011360.2,901931
2020/12/19,11704,0,0,0,115894858.1,909393
2020/12/20,12099,0,0,0,115541575.1,914733
2020/12/21,12280,0,0,0,115503088.0,911122
2020/12/22,12397,0,0,0,113761888.1,903151
2020/12/23,12595,0,0,0,111854153.5,890108
2020/12/24,12582,0,0,0,69750954.45,874944
2020/12/25,12581,0,0,0,74112717.81,850094
2020/12/26,12538,0,0,0,68792408.92,827543
2020/12/27,12563,0,0,0,69739883.23,798517
2020/12/28,12674,0,0,0,70289737.09,764728
2020/12/29,12674,0,0,0,196480427.1,725655
2020/12/30,12602,0,0,0,317921948.0,682718
2020/12/31,12709,0,0,0,317261659.2,654714
2021/1/1,12559,0,0,1,307493297.5,596690
2021/1/2,12050,0,0,2,303888889.1,551215
2021/1/3,11211,0,0,3,297432994.2,526123
2021/1/4,10581,0,0,3,290571269.4,508447
2021/1/5,9953,0,0,3,158238923.1,490019
2021/1/6,9425,0,0,3,32629788.19,470810
2021/1/7,8845,0,0,3,34115816.02,439576
2021/1/8,8373,0,0,2,43548476.51,444085
2021/1/9,8372,0,0,1,43593903.35,447091
2021/1/10,8215,0,0,0,44351106.05,431231
2021/1/11,8097,0,0,0,47357156.26,416792
2021/1/12,8155,0,0,0,60504581.3,411372
2021/1/13,8090,0,0,0,62537499.14,407552
2021/1/14,8087,0,0,0,61175668.97,400268
2021/1/15,8115,0,0,0,53324505.98,394558
2021/1/16,7703,0,0,0,54616622.33,385993
2021/1/17,7435,0,0,0,55852036.02,375666
2021/1/18,7254,0,0,0,66818064.36,368395
2021/1/19,7095,0,0,0,73816261.47,360341
2021/1/20,6957,0,0,0,71167495.18,356039
2021/1/21,6625,0,0,0,67664613.25,352060
2021/1/22,6419,0,0,0,70793418.63,349037
2021/1/23,6390,0,0,0,77393439.88,345839
2021/1/24,6404,0,0,0,76807117.06,344005
2021/1/25,6387,0,0,0,221764748.6,342033
2021/1/26,6343,0,0,0,203621215.8,344917
2021/1/27,6502,0,0,0,204600060.6,352266
2021/1/28,6273,0,0,0,207951247.5,337287
2021/1/29,5948,0,0,0,237928231.5,317884
2021/1/30,5690,0,0,0,232990558.7,303966
2021/1/31,5483,0,0,0,241431288.2,289543
2021/2/1,5230,0,0,0,88001739.07,277008
2021/2/2,4967,0,0,0,89134289.95,260312
2021/2/3,4496,0,0,0,90345117.15,237398
2021/2/4,4572,0,0,0,89912785.94,242252
2021/2/5,4675,0,0,0,61903171.31,254132
2021/2/6,4918,0,0,0,61040770.52,271848
2021/2/7,5001,0,0,0,77034521.59,279466
2021/2/8,5343,0,0,0,82098347.24,297319
2021/2/9,5712,0,0,0,85200221.11,319445
2021/2/10,6040,0,0,0,88667179.89,335286
2021/2/11,5679,0,0,1,84967423.9,318104
2021/2/12,5125,0,0,2,77338559.73,281980
2021/2/13,4466,0,0,3,74378994.03,252403
2021/2/14,4057,0,0,4,48062988.49,236610
2021/2/15,3596,0,0,5,37239203.07,218457
2021/2/16,3203,0,0,6,31397309.92,205738
2021/2/17,3137,0,0,7,24044709.07,220676
2021/2/18,3562,0,0,6,25265123.84,254235
2021/2/19,4139,0,0,5,27055770.03,294951
2021/2/20,4699,0,0,4,28380860.09,331504
2021/2/21,5308,0,0,3,29795028.93,378619
2021/2/22,5844,0,0,2,31886176.46,419128
2021/2/23,6228,0,0,1,33612749.88,452179
2021/2/24,6423,0,0,0,58473751.56,462382
2021/2/25,6869,0,0,0,60884711.82,485991
2021/2/26,7417,0,0,0,165037875.5,514243
2021/2/27,8196,0,0,0,165869003.7,542631
2021/2/28,8851,0,0,0,169247082.0,559770
2021/3/1,9049,0,0,0,167940800.6,577808
2021/3/2,9223,0,0,0,169041355.5,590858
2021/3/3,9276,0,0,0,149206816.1,608052
2021/3/4,9295,0,0,0,152584865.5,616153
2021/3/5,9366,0,0,0,54228350.23,629799
2021/3/6,9009,0,0,0,54942299.36,618597
2021/3/7,8632,0,0,0,54514903.47,608446
2021/3/8,8593,0,0,0,62668762.71,598878
2021/3/9,8627,0,0,0,63529176.03,597496
2021/3/10,8658,0,0,0,62883166.73,594418
2021/3/11,8602,0,0,0,57110925.45,598007
2021/3/12,8535,0,0,0,54751680.05,605367
2021/3/13,8464,0,0,0,56289723.02,606984
2021/3/14,8523,0,0,0,58856112.42,614308
2021/3/15,8674,0,0,0,53491245.89,622015
2021/3/16,8874,0,0,0,52348972.86,670161
2021/3/17,9245,0,0,0,53551223.43,713958
2021/3/18,9559,0,0,0,54602271.82,759043
2021/3/19,9910,0,0,0,62600993.03,805014
2021/3/20,10376,0,0,0,63051238.63,854721
2021/3/21,10817,0,0,0,60752929.26,899053
2021/3/22,11039,0,0,0,62182616.26,945911
2021/3/23,11250,0,0,0,68057979.46,947775
2021/3/24,11299,0,0,0,72958730.81,956770
2021/3/25,11458,0,0,0,75417518.1,965736
2021/3/26,11545,0,0,0,71216809.08,967033
2021/3/27,11811,0,0,0,73886558.35,972919
2021/3/28,12164,0,0,0,76875915.94,971725
2021/3/29,12442,0,0,0,78536382.67,965283
2021/3/30,12893,0,0,0,78615305.8,960085
2021/3/31,13263,0,0,0,87164216.67,955067
2021/4/1,13247,0,0,0,88325958.04,945262
2021/4/2,13259,0,0,0,86824098.36,941373
2021/4/3,12937,0,0,1,85244361.38,928150
2021/4/4,12413,0,0,2,79557219.68,888876
2021/4/5,12455,0,0,3,78936041.88,893742
2021/4/6,11897,0,0,3,72498703.47,898153
2021/4/7,11334,0,0,3,54822761.94,889439
2021/4/8,11461,0,0,3,50749343.45,884206
